User Test
Participant ID,Pretest Date,Pre1,Pre2,Pre3,Pre4,Pre5,Pre6,Pre7,Pretest Score,Tool Used,Posttest Date,Posttest Score,Improvement,Post1,Post2,Post3,Post4,Post5,Post6,Post7,Baseline Knowledge
1,24/11/2025,1,1,1,1,1,1,1,7,Our tool,08/12/2025,6,-1,1,1,1,0,1,1,1,3
2,24/11/2025,1,0,0,1,1,1,1,5,Answer,08/12/2025,6,1,1,1,1,1,1,0,1,2
3,24/11/2025,1,1,1,1,0,1,1,6,Book,08/12/2025,7,1,1,1,1,1,1,1,1,3
4,25/11/2025,1,0,1,0,1,1,1,5,Book,08/12/2025,5,0,1,1,0,1,1,1,0,2
5,25/11/2025,1,1,1,1,0,1,0,5,Our tool,08/12/2025,7,2,1,1,1,1,1,1,1,1
6,25/11/2025,1,1,1,1,0,1,1,6,Answer,08/12/2025,6,0,1,1,1,0,1,1,1,2
7,25/11/2025,0,0,1,0,1,0,1,3,Our tool,08/12/2025,4,1,0,1,1,1,0,1,0,1
8,25/11/2025,0,0,1,0,0,1,0,2,Our tool,08/12/2025,5,3,1,1,1,0,1,1,0,1
9,25/11/2025,1,0,0,0,0,1,1,3,Book,08/12/2025,6,3,1,1,1,1,1,0,1,2
10,25/11/2025,1,1,1,1,1,1,1,7,Answer,08/12/2025,7,0,1,1,1,1,1,1,1,2
11,25/11/2025,0,0,1,1,1,1,0,4,Answer,08/12/2025,5,1,1,1,0,1,1,0,1,1
12,27/11/2025,1,1,1,0,1,1,1,6,Book,08/12/2025,6,0,1,1,0,1,1,1,1,2
13,27/11/2025,1,1,0,1,1,1,1,6,Answer,08/12/2025,6,0,1,1,0,1,1,1,1,3
14,27/11/2025,1,1,1,0,0,1,0,4,Our tool,08/12/2025,6,2,1,1,1,1,1,1,0,2
15,27/11/2025,1,0,1,1,1,1,1,6,Book,08/12/2025,5,-1,1,1,1,1,0,0,1,2
16,27/11/2025,0,0,1,1,0,1,1,4,Our tool,08/12/2025,6,2,1,0,1,1,1,1,1,1
17,27/11/2025,1,1,0,0,0,1,0,3,Book,08/12/2025,6,3,1,1,0,1,1,1,1,1
18,27/11/2025,0,1,0,1,1,0,0,3,Answer,08/12/2025,4,1,0,0,1,1,1,0,1,1
19,27/11/2025,1,0,1,1,1,1,1,6,Our tool,08/12/2025,5,-1,0,1,1,0,1,1,1,2
20,27/11/2025,1,0,0,0,1,1,1,4,Answer,08/12/2025,6,2,1,1,0,1,1,1,1,2
